Nombre común |Nombre inglés |Nombre científico |Clase|Orden |Familia|Golfo de México|Mar Caribe|Pacífico |Fuera del país |Grupo|Nacional/Importado|Objetivo |Incidental |Deportiva |Fomento |Cultivada |Cartel|Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva|Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades |Distribución |Cultivada / capturada|Comercio|País de importación|Pacífico zona 1|Pacífico zona 2|Pacífico zona 3|Golfo Mex y Caribe zona 1|Golfo Mex y Caribe zona 2|Golfo Mex y Caribe zona 3|Estado según Arreguín et al. Litoral Oriental del Golfo de California |Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec |Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche|Imagen|Datos|||firma
Ronco roncacho|Bairdiella|Bairdiella icistia|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|2|20-30|No selectiva|Chinchorro playero, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Habita en aguas costeras, estuarios y desembocaduras de ríos. Se alimenta de peces, pequeños camarones y otros crustáceos. |Se distribuye en el Pacífico Centro-Oriental,  desde el Golfo de California a Guatemala.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||sobre pesca|sobre pesca|sobre pesca|||Bairdiella icistia.png|1|||FMM
Ronco rayado|Ground Croaker|Bairdiella ronchus|Actinopterygii|Perciformes|Sciaenidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|25-35|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive sobre fondos fangosos y arenosos. Se alimenta de peces y crustáceos. |Se distribuye en el Atlántico, desde el Mar Caribe hasta Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Bairdiella ronchus.png|0|||FMM
Cochi|Finescale Triggerfish|Balistes polylepis|Actinopterygii|Tetraodontiformes|Balistidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|40-70|No selectiva|Línea de mano, red agallera de fondo, palangre escamero.     ||||||Especie marina de hábitos costeros. Vive en arrecifes rocosos y de coral. Se alimenta de erizos, pequeños crustáceos y moluscos.      |Se distribuye en casi todo el Océano Pacífico.       |Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Balistes polylepis.png|0|||FMM
Vieja mexicana|Mexican Hogfish|Bodianus diplotaenia|Actinopterygii|Perciformes|Labridae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|45-76|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en zonas rocosas o arrecifales. Se alimentan de cangrejos, estrellas de mar, moluscos y erizos de mar. |Se distribuye en el Pacífico Oriental, desde la isla Guadalupe y en todo el Golfo de California hasta Chile, incluyendo la de Cocos, Malpelo, Revillagigedo y las islas Galápagos.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Bodianus diplotaenia.png|0|||
Vieja lomo negro|Spotfin Hogfish|Bodianus pulchellus|Actinopterygii|Perciformes|Labridae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|18-28.5|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros.  Vive en arrecifes de coral y rocosos. Se alimenta de cangrejos y pequeños crustáceos, los jóvenes comen parásitos de otros peces.|Se distribuye en el Atlántico Occidental, desde Carolina del Sur, EE.UU hasta Brasil. |Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Bodianus pulchellus.png|0|||
Vieja española|Spanish Hogfish|Bodianus rufus|Actinopterygii|Perciformes|Labridae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|28-40|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en  arrecifes rocosos o de coral. Se alimentan de estrellas de mar, crustáceos, moluscos y erizos de mar. Los jóvenes consumen activamente parásitos de peces de mayor tamaño. |Se distribuye en el Atlántico Occidental, desde  Bermudas,  hasta el sur de Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Bodianus rufus.png|0|||
Lenguado Tropical|Flowery Flounder|Bothus mancus|Actinopterygii |Pleuronectiformes |Paralichthydae |0|0|1|0|Escama|Nacional|0|1|0|0|0|2|35-50|No selectiva|Redes de enmalle de fondo y redes de arrastre, y en forma secundaria se utilizan líneas de anzuelos. ||||||Especie marina de hábitos costeros. Vive en la arena cerca de los arrecifes de coral y en las plataformas de los arrecifes rocosos, también se encuentra en sustratos de grava. Se alimenta de pequeños crustáceos bentónicos y peces.|Ampliamente distribuido en el Indo-Pacífico, desde el este de África hasta América Central. En el Pacífico Oriental Tropical hay varios registros dispersos de la parte continental que incluye la punta de Baja California, el sur de México, Panamá y Ecuador, incluidas todas las islas oceánicas.|Capturada|Se utiliza la carne||Sin datos.|Sin datos.|Sin datos.|||||||||Bothus mancus.png|0|||
Lenguado|Eyed Flounder|Bothus ocellatus|Actinopterygii|Pleuronectiformes|Bothidae |1|1|0|0|Lenguados|Nacional|0|1|0|0|0|2|12.5-18|No selectiva| Redes de enmalle de fondo y redes de arrastre, y en forma secundaria se utilizan líneas de anzuelos.||||||Especie marina de hábitos bentónicos. Vive en zonas de arena y en parches de pastos marinos y cerca de los arrecifes. Principalmente de alimenta de peces  y crustáceos. |Se distribuye en el Atlántico Occidental, desde Canadá, Bermuda y norte del Golfo de México hasta el sur de Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Bothus ocellatus.png|0|||
Chueco dos manchas|Twospot Flounder|Bothus robinsi|Actinopterygii|Pleuronectiformes|Bothidae |1|1|0|0|Lenguados|Nacional|0|1|0|0|0|2|18-25|No selectiva| Redes de enmalle de fondo y redes de arrastre, y en forma secundaria se utilizan líneas de anzuelos.||||||Especie marina de hábitos bentónicos. Habita en bahías, lagunas y aguas costeras poco profundas, de fondos blandos. Se alimenta de crustáceos, poliquetos y moluscos.|Se distribuye en el Atlántico Occidental, desde Nueva York, EE.UU; el noreste del Golfo de México hasta Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Bothus robinsi.png|0|||
Sardina escamitas|Finescale Menhaden|Brevoortia gunteri|Actinopterygii|Clupeiformes|Clupeidae|1|1|0|0|Sardinas|Nacional|1|0|0|0|0|2|20-30|No selectiva|Chinchorro playero, red agallera para escama pelágica, red agallera para escama de fondo.||||||Especie marina de habitos costeros y pelagicos. Se alimenta de plancton. Desova durante el invierno y posiblemente, durante principios de la primavera.|Se distribuye en el Atlántico Centro-Occidental, en todo el Golfo de México, desde Florida hasta Campeche.|Capturada|Se utiliza la carne.|||||Sin datos.|Con potencial de desarrollo.|Con potencial de desarrollo.||||||Brevoortia gunteri.png|1|||
Sardina lacha|Gulf Menhaden|Brevoortia patronus|Actinopterygii|Clupeiformes|Clupeidae|1|1|0|0|Sardinas|Nacional|1|0|0|0|0|2|20-35|No selectiva|Chinchorro playero, red agallera para escama pelágica, red agallera para escama de fondo.||||||Especie marina de habitos costeros y pelagicos. Habita en estuarios. Se alimenta de fitoplancton.|Se distribuye en el Atlántico Centro-Occidental, presente en el Golfo de México y mar  Caribe.|Capturada|Se utiliza la carne.|||||Sin datos.|Con potencial de desarrollo.|Con potencial de desarrollo.||||||Brevoortia patronus.png|1|||
Lengua|Atlantic Bearded|Brotula barbata|Actinopterygii|Ophidiiformes|Ophidiidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|50-94|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos pelágicos. Vive en aguas profundas y los juveniles se encuentran en  arrecifes rocosos y coralinos. |Se distribuye en el Atlántico occidental,   desde Florida, EE.UU. hastaAmérica del Sur, incluyendo las islas del Caribe. |Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Brotula barbata.png|0|||
Lengua rosada|Pacific Bearded|Brotula clarkae|Actinopterygii|Ophidiiformes|Ophidiidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|45-115|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina. Los adultos de hábitos bentopelágicos a 650 m de profundidad, los juveniles comunes en los arrecifes, a profundidades de alrededor de 40 a 75 m.|Se distribuye en el Pacífico Centro-Oriental,  desde el Golfo de California a Perú.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Brotula clarkae.png|0|||
Mojarrón|Grass Porgy|Calamus arctifrons|Actinopterygii|Perciformes|Sparidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|20-25|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de  hábitos costeros. Vive en praderas de algas marinas cerca de la costa. Se alimenta principalmente de invertebrados. |Se distribuye en el Atlántico Centro-Occidental, desde el sur de la Florida hasta Louisiana en los EE.UU.. También en este del Golfo de México.|Capturada|Fresco y congelado.|||||Sin datos.|Sin datos.|Sin datos.||||||Calamus arctifrons.png|0|||
Pluma|Jolthead Porgy|Calamus bajonado|Actinopterygii|Perciformes|Sparidae|1|0|0|0|Escama|Nacional|0|1|0|0|0|2|54-76|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en zonas de fondos arenosos con vegetación y fondos de coral. Se alimenta principalmente de erizos de mar, cangrejos y moluscos. |Se distribuye en el Atlántico Occidental, desde  Rhode Island (EE.UU.), Bermuda y norte del Golfo de México hasta Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Calamus bajonado.png|0|||
Mojarrón|Pacific Porgy|Calamus brachysomus|Actinopterygii|Perciformes|Sparidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|40-61|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de  hábitos costeros. Vive en zonas de arena.Se alimenta de invertebrados bentónicos.|Se distribuye en el Pacífico Oriental, desde el sur de California, EE.UU. hasta Perú.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Calamus brachysomus.png|0|||FMM
Cachipluma|Saucereye Porgy|Calamus calamus|Actinopterygii|Perciformes|Sparidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|30-56|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de  hábitos costeros.Vive en zonas de coral. Se alimenta principalmente de moluscos, gusanos, estrellas de mar, cangrejos ermitaños, cangrejos y erizos de mar.|Se distribuye en el Atlántico Occidental, desde Carolina del Norte, EE.UU. hasta Brasil.|Capturada|Fresco y congelado.|||||Sin datos.|Sin datos.|Sin datos.||||||Calamus calamus.png|0|||FMM
Pluma|Knobbed Porgy|Calamus nodosus|Actinopterygii|Perciformes|Sparidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|35-54|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive  sobre fondos duros. Se alimenta principalmente de moluscos y equinodermos.|Se distribuye en el Atlántico Occidental, desde Carolina del Norte hasta el sur de la Florida en los EE.UU. y todo el Golfo de México.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Calamus nodosus.png|0|||FMM
Mojarra pluma|Pluma Porgy|Calamus pennatula|Actinopterygii|Perciformes|Sparidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|30-37|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de  hábitos costeros. Vive en zonas rocosas o de arrecifes. Se alimenta de cangrejos, moluscos, gusanos, estrellas de mar y cangrejos ermitaños.|Se distribuye en el Atlántico Occidental, desde Bahamas hasta Brasil, incluyendo la parte sur del Golfo de México y en todo el Mar Caribe.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Calamus pennatula.png|0|||FMM
Pluma jorobada|Littlehead Porgy|Calamus proridens|Actinopterygii|Perciformes|Sparidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|37-46|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de  hábitos costeros. Vive en zonas con fondos asociados a  esponjas y corales. Se alimenta principalmente de invertebrados.|Se distribuye en el Atlántico Occidental, desde el noreste de Florida, EE.UU. y norte del Golfo de México a la Bahía de Campeche.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Calamus proridens.png|0|||FMM
Tamborín narizón|Caribbean Sharpnose Puffer|Canthigaster rostrata|Actinopterygii|Tetraodontiformes|Tetraodontidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|12.5|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en arrecifes y praderas de pastos marinos.Se alimenta de pastos marinos, esponjas, cangrejos y otros crustáceos, moluscos, gusanos poliquetos, erizos, estrellas de mar, hidrozoos y algas.  |Se distribuye en el Atlántico Centro-Occidental, Carolina del Sur, EE.UU. hasta el Golfo de México.|Capturada|Acuarismo.|||||Sin datos.|Sin datos.|Sin datos.||||||Canthigaster rostrata.png|0|||
Cojinuda amarilla| Yellow Jack|Carangoides bartholomaei|Actinopterygii|Perciformes|Carangidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|50-100|No selectiva| Redes de enmalle de 3 1/2 a 5 pulgadas de luz de malla. También se captura con curricán, línea de mano y palangre. ||||||Especie marina de hábitos costeros. Los adultos prefieren los arrecifes costeros. Los juveniles a menudo se encuentran en las praderas marinas o asociadas al sargazo flotante. Se alimentan de pequeños peces. |Se distribuye en el Atlántico, desde  Massachusetts (EE.UU.) y las Bermudas, a través del Golfo de México y el Caribe hasta São Paulo, Brasil. |Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Carangoides bartholomaei.png|0|||
Jurel bonito|Green Jack|Caranx caballus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles|Nacional|1|0|0|0|0|1|40-55|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos pelágicos. Vive en la zona de la plataforma continental y cerca de la costa. Se alimenta de peces, calamares, camarones y otros invertebrados. |Se distribuye en el Pacífico Oriental, desde California hasta Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||sobre pesca|sobre pesca|máximo aprovechamiento|||CaranxCaballus.png|1|||
Jurel toro|Pacific Crevalle Jack|Caranx caninus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles|Nacional|1|0|0|0|0|1|60-100|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos pelágicos. Vive en aguas costeras y oceánicas. Se alimenta de peces, camarones y otros invertebrados.|Se distribuye en el Pacífico Oriental, desde el sur de California hasta Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||sobre pesca|sobre pesca|máximo aprovechamiento|||CaranxCaninus.png|1|||
Cojinuda negra|Blue Runner|Caranx crysos|Actinopterygii|Perciformes|Carangidae|1|0|0|0|Escama|Nacional|1|0|0|0|0|2|40-70|No selectiva| Redes de enmalle de 3 1/2 a 5 pulgadas de luz de malla. También se captura con curricán, línea de mano y palangre. ||||||Especie marina que habita no muy lejos de la costa. Los jóvenes a menudo  se asocian a los mantos de sargazos. Los adultos se alimentan de peces, camarones y otros invertebrados. |Se distribuye en el Atlántico Occidental, desde Nueva Escocia, Canadá  hasta Brasil ( incluyendo el Golfo de México).|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Caranx crysos.png|0|||
Jurel común|Crevalle Jack|Caranx hippos|Actinopterygii|Perciformes|Carangidae|1|1|0|0|Jureles|Nacional|1|0|0|0|0|1|74-124|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica. ||||||Especie totalmente marina. Los adultos viven en las bocas de los ríos, los juveniles viven en estuarios y cerca de los fondos fangosos, playas y pastos marinos. Se alimentan de peces, camarones y otros invertebrados.|Se distribuye en las costas del Atlántico oriental, desde Portugal hasta Angola, incluyendo el oeste del Mar Mediterráneo y en el Atlántico occidental, desde Nueva Escocia, Golfo de México y Uruguay.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||||CaranxHippos.png|1|||
Jurel blanco|Horse Eye Jack|Caranx latus|Actinopterygii|Perciformes|Carangidae|1|1|0|0|Jureles|Nacional|1|0|0|0|0|1|34-101|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina que vive en el mar abierto y en los arrecifes. Los juveniles viven cerca de las costas, en fondos arenosos y fangosos. Pueden vivir hasta 140 m de profundidad. |Se distribuye desde las costas del Atlántico occidental (Costa norte de los Estados Unidos, Bermudas, Golfo de México y Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||||CaranxLatus.png|1|||
Jurel negro|Black Jack|Caranx lugubris|Actinopterygii|Perciformes|Carangidae|1|1|0|0|Jureles|Nacional|0|1|0|0|0|2|70-100|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de habitos  oceánicos e insulares,  se encuentran comúnmente en los bancos de poca profundidad. Se alimentan de peces por la noche.|Se distribuye en el pacifico oriental  desde el sur de Baja California hasta Panamá, incluyendo todas las islas oceánicas.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Caranx lugubris.png|0|||
Jurel de hebra|Threadfin Jack|Caranx otrynter|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles|Nacional|1|0|0|0|0|2|30-60|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos pelágicos. Se alimenta de peces y camarones.  |Se distribuye en el Pacífico Oriental, desde México hasta Ecuador e Islas Galápagos.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Caranx otrynter.png|1|||
